date,dew,temp,press,wnd_spd,snow,rain,pollution
2010-01-02 00:00:00,-16,-4,1020,1.79,0,0,129
2010-01-02 01:00:00,-15,-4,1020,2.68,0,0,148
2010-01-02 02:00:00,-11,-5,1021,3.57,0,0,159
2010-01-02 03:00:00,-7,-5,1022,5.36,1,0,181
2010-01-02 04:00:00,-7,-5,1022,6.25,2,0,138
2010-01-02 05:00:00,-7,-6,1022,7.14,3,0,109
2010-01-02 06:00:00,-7,-6,1023,8.93,4,0,105
2010-01-02 07:00:00,-7,-5,1024,10.72,0,0,124
2010-01-02 08:00:00,-8,-6,1024,12.51,0,0,120
2010-01-02 09:00:00,-7,-5,1025,14.3,0,0,132
2010-01-02 10:00:00,-7,-5,1026,17.43,1,0,140
2010-01-02 11:00:00,-8,-5,1026,20.56,0,0,152
2010-01-02 12:00:00,-8,-5,1026,23.69,0,0,148
2010-01-02 13:00:00,-8,-5,1025,27.71,0,0,164
2010-01-02 14:00:00,-9,-5,1025,31.73,0,0,158
2010-01-02 15:00:00,-9,-5,1025,35.75,0,0,154
2010-01-02 16:00:00,-9,-5,1026,37.54,0,0,159
2010-01-02 17:00:00,-8,-5,1027,39.33,0,0,164
2010-01-02 18:00:00,-8,-5,1027,42.46,0,0,170
2010-01-02 19:00:00,-8,-5,1028,44.25,0,0,149
2010-01-02 20:00:00,-7,-5,1028,46.04,0,0,154
2010-01-02 21:00:00,-7,-5,1027,49.17,1,0,164
2010-01-02 22:00:00,-8,-6,1028,52.3,2,0,156
2010-01-02 23:00:00,-8,-6,1027,55.43,3,0,126
2010-01-03 00:00:00,-7,-6,1027,58.56,4,0,90
2010-01-03 01:00:00,-8,-6,1026,61.69,5,0,63
2010-01-03 02:00:00,-8,-7,1026,65.71,6,0,65
2010-01-03 03:00:00,-8,-7,1025,68.84,7,0,55
2010-01-03 04:00:00,-8,-7,1024,72.86,8,0,65
2010-01-03 05:00:00,-9,-8,1024,76.88,9,0,83
2010-01-03 06:00:00,-10,-8,1024,80.9,10,0,91
2010-01-03 07:00:00,-10,-9,1024,84.92,11,0,86
2010-01-03 08:00:00,-10,-9,1024,89.84,12,0,82
2010-01-03 09:00:00,-11,-9,1023,93.86,13,0,86
2010-01-03 10:00:00,-11,-9,1023,97.88,15,0,78
2010-01-03 11:00:00,-11,-9,1022,102.8,16,0,98
2010-01-03 12:00:00,-11,-9,1021,105.93,17,0,107
2010-01-03 13:00:00,-11,-9,1020,111.74,19,0,90
2010-01-03 14:00:00,-11,-9,1020,116.66,20,0,96
2010-01-03 15:00:00,-11,-9,1020,121.58,21,0,95
2010-01-03 16:00:00,-11,-9,1020,124.71,22,0,86
2010-01-03 17:00:00,-11,-9,1020,127.84,23,0,70
2010-01-03 18:00:00,-11,-9,1021,0.89,24,0,61
2010-01-03 19:00:00,-11,-9,1022,1.78,25,0,53
2010-01-03 20:00:00,-10,-9,1022,4.02,26,0,71
2010-01-03 21:00:00,-11,-10,1023,7.15,27,0,72
2010-01-03 22:00:00,-11,-9,1023,11.17,0,0,76
2010-01-03 23:00:00,-12,-11,1023,14.3,0,0,73
2010-01-04 00:00:00,-14,-12,1023,16.09,0,0,79
2010-01-04 01:00:00,-16,-9,1023,21.9,0,0,58
2010-01-04 02:00:00,-17,-10,1024,29.95,0,0,25
2010-01-04 03:00:00,-18,-11,1024,39.78,0,0,26
2010-01-04 04:00:00,-19,-11,1025,48.72,0,0,28
2010-01-04 05:00:00,-20,-12,1026,55.87,0,0,26
2010-01-04 06:00:00,-21,-12,1027,64.81,0,0,20
2010-01-04 07:00:00,-21,-13,1027,73.75,0,0,29
2010-01-04 08:00:00,-22,-13,1028,80.9,0,0,26
2010-01-04 09:00:00,-22,-13,1029,90.73,0,0,27
2010-01-04 10:00:00,-22,-12,1030,100.56,0,0,27
2010-01-04 11:00:00,-23,-12,1031,108.61,0,0,25
2010-01-04 12:00:00,-21,-11,1030,117.55,0,0,29
2010-01-04 13:00:00,-20,-10,1030,127.38,0,0,32
2010-01-04 14:00:00,-21,-10,1030,136.32,0,0,28
2010-01-04 15:00:00,-21,-9,1030,145.26,0,0,29
